Date,TLT,EMB,AGG,Cash,SPY,EFA,VWO,GLD,DBC
1998-04-28,2236.6,2199.8530920000003,6377.7416729999995,4341.032199,13327.8884,10827.378420000001,4245.7,602.4414059999999,1470.068
1998-04-29,2237.84,2207.55206,6377.010561,4343.289536,13419.96332,10827.378420000001,4256.2,602.0507809999999,1451.165
1998-04-30,2270.47,2230.5009059999998,6414.297318999999,4345.436192,13669.329230000001,10913.08016,4304.1,606.8359379999999,1452.535
1998-05-01,2273.5,2238.5805920000003,6419.25264,4345.436192,13822.79109,10913.08016,4312.5,599.4140629999999,1478.48
1998-05-04,2274.71,2231.262342,6421.852153,4354.024155,13788.262990000001,10913.08016,4311.8,599.4140629999999,1477.5439999999999
1998-05-05,2266.44,2221.9770489999996,6415.434606,4354.024155,13692.34796,10913.08016,4289.5,593.359375,1465.158
1998-05-06,2275.97,2210.470899,6426.4013,4358.330464,13531.216859999999,10913.08016,4191.8,587.890625,1460.505
1998-05-07,2274.71,2213.0301719999998,6427.7822909999995,4360.482166,13423.803430000002,10913.08016,4161.3,582.2265629999999,1448.6989999999998
1998-05-08,2268.42,2212.818661,6419.983753,4362.634929999999,13642.48136,10913.08016,4161.2,586.71875,1442.4
1998-05-11,2250.72,2199.789639,6402.924452,4369.020808,13596.4439,10913.08016,4132.0,583.7890629999999,1431.14
1998-05-12,2271.86,2189.023775,6426.238829999999,4371.121529,13742.225540000001,10913.08016,4062.9,584.6679690000001,1432.8310000000001
1998-05-13,2278.0,2191.879162,6430.056864,4373.205296,13776.753630000001,10913.08016,4002.1,584.1796879999999,1425.746
1998-05-14,2268.69,2192.492541,6421.608448,4375.275679,13707.69744,10913.08016,4004.4,578.4179690000001,1427.211
1998-05-15,2271.2,2201.101002,6423.395613000001,4377.3458439999995,13630.972,10913.08016,4016.6,587.6953129999999,1408.594
1998-05-18,2286.14,2156.789636,6439.236393,4383.476034,13577.25431,10913.08016,3895.5,586.5234379999999,1399.736
1998-05-19,2281.94,2164.784718,6437.611698,4385.544074,13669.329230000001,10913.08016,3906.4,585.3515629999999,1397.455
1998-05-20,2292.8,2183.207248,6450.9342,4387.627508,13799.772359999999,10913.08016,3934.4,585.15625,1392.5810000000001
1998-05-21,2283.98,2185.745369,6439.155158,4389.72275,13711.53755,10913.08016,3957.8,587.109375,1388.632
1998-05-22,2290.17,2181.176751,6444.679123,4391.781711,13657.81987,10913.08016,3933.3,585.546875,1392.733
1998-05-25,2290.17,2181.176751,6444.679123,4397.953793,13657.81987,10913.08016,3870.7,585.546875,1392.733
1998-05-26,2304.64,2150.084766,6461.738424,4400.016614,13439.141940000001,10913.08016,3768.7,581.9335940000001,1378.203
1998-05-27,2310.0,2144.289389,6471.080422,4402.079197,13458.331530000001,10913.08016,3684.0,571.7773440000001,1380.918
1998-05-28,2310.42,2168.782259,6467.668562,4404.136717,13519.70749,10913.08016,3709.1,574.21875,1375.161
1998-05-29,2317.65,2161.971634,6475.142161,4406.1734799999995,13385.43522,10860.11217,3701.0,573.4375,1387.2820000000002
1998-06-01,2326.32,2155.710935,6484.565394,4412.231705,13446.82216,10860.11217,3583.2,563.9648440000001,1371.72
